(1 - p)*(1 - p0)^9,0
p*(1 - p0)^8*(1 - p1) + 8*(1 - p)*(1 - p0)^7*p0*(1 - p1),(1 - p)*(1 - p0)^8*p0
7*p*(1 - p0)^6*p0*(1 - p1)^2 + 21*(1 - p)*(1 - p0)^5*p0^2*(1 - p1)^2 + p*(1 - p0)^7*(1 - p1)*p1 + 7*(1 - p)*(1 - p0)^6*p0*(1 - p1)*p1,p*(1 - p0)^7*p0*(1 - p1) + 7*(1 - p)*(1 - p0)^6*p0^2*(1 - p1) + (1 - p)*(1 - p0)^7*p0*p1
15*p*(1 - p0)^4*p0^2*(1 - p1)^3 + 20*(1 - p)*(1 - p0)^3*p0^3*(1 - p1)^3 + 12*p*(1 - p0)^5*p0*(1 - p1)^2*p1 + 30*(1 - p)*(1 - p0)^4*p0^2*(1 - p1)^2*p1 + p*(1 - p0)^6*(1 - p1)*p1^2 + 6*(1 - p)*(1 - p0)^5*p0*(1 - p1)*p1^2,6*p*(1 - p0)^5*p0^2*(1 - p1)^2 + 15*(1 - p)*(1 - p0)^4*p0^3*(1 - p1)^2 + 2*p*(1 - p0)^6*p0*(1 - p1)*p1 + 12*(1 - p)*(1 - p0)^5*p0^2*(1 - p1)*p1 + (1 - p)*(1 - p0)^6*p0*p1^2
10*p*(1 - p0)^2*p0^3*(1 - p1)^4 + 5*(1 - p)*(1 - p0)*p0^4*(1 - p1)^4 + 30*p*(1 - p0)^3*p0^2*(1 - p1)^3*p1 + 30*(1 - p)*(1 - p0)^2*p0^3*(1 - p1)^3*p1 + 15*p*(1 - p0)^4*p0*(1 - p1)^2*p1^2 + 30*(1 - p)*(1 - p0)^3*p0^2*(1 - p1)^2*p1^2 + p*(1 - p0)^5*(1 - p1)*p1^3 + 5*(1 - p)*(1 - p0)^4*p0*(1 - p1)*p1^3,10*p*(1 - p0)^3*p0^3*(1 - p1)^3 + 10*(1 - p)*(1 - p0)^2*p0^4*(1 - p1)^3 + 15*p*(1 - p0)^4*p0^2*(1 - p1)^2*p1 + 30*(1 - p)*(1 - p0)^3*p0^3*(1 - p1)^2*p1 + 3*p*(1 - p0)^5*p0*(1 - p1)*p1^2 + 15*(1 - p)*(1 - p0)^4*p0^2*(1 - p1)*p1^2 + (1 - p)*(1 - p0)^5*p0*p1^3
p*p0^4*(1 - p1)^5 + 16*p*(1 - p0)*p0^3*(1 - p1)^4*p1 + 4*(1 - p)*p0^4*(1 - p1)^4*p1 + 36*p*(1 - p0)^2*p0^2*(1 - p1)^3*p1^2 + 24*(1 - p)*(1 - p0)*p0^3*(1 - p1)^3*p1^2 + 16*p*(1 - p0)^3*p0*(1 - p1)^2*p1^3 + 24*(1 - p)*(1 - p0)^2*p0^2*(1 - p1)^2*p1^3 + p*(1 - p0)^4*(1 - p1)*p1^4 + 4*(1 - p)*(1 - p0)^3*p0*(1 - p1)*p1^4,4*p*(1 - p0)*p0^4*(1 - p1)^4 + (1 - p)*p0^5*(1 - p1)^4 + 24*p*(1 - p0)^2*p0^3*(1 - p1)^3*p1 + 16*(1 - p)*(1 - p0)*p0^4*(1 - p1)^3*p1 + 24*p*(1 - p0)^3*p0^2*(1 - p1)^2*p1^2 + 36*(1 - p)*(1 - p0)^2*p0^3*(1 - p1)^2*p1^2 + 4*p*(1 - p0)^4*p0*(1 - p1)*p1^3 + 16*(1 - p)*(1 - p0)^3*p0^2*(1 - p1)*p1^3 + (1 - p)*(1 - p0)^4*p0*p1^4
10*p*p0^3*(1 - p1)^4*p1^2 + 30*p*(1 - p0)*p0^2*(1 - p1)^3*p1^3 + 10*(1 - p)*p0^3*(1 - p1)^3*p1^3 + 15*p*(1 - p0)^2*p0*(1 - p1)^2*p1^4 + 15*(1 - p)*(1 - p0)*p0^2*(1 - p1)^2*p1^4 + p*(1 - p0)^3*(1 - p1)*p1^5 + 3*(1 - p)*(1 - p0)^2*p0*(1 - p1)*p1^5,5*p*p0^4*(1 - p1)^4*p1 + 30*p*(1 - p0)*p0^3*(1 - p1)^3*p1^2 + 10*(1 - p)*p0^4*(1 - p1)^3*p1^2 + 30*p*(1 - p0)^2*p0^2*(1 - p1)^2*p1^3 + 30*(1 - p)*(1 - p0)*p0^3*(1 - p1)^2*p1^3 + 5*p*(1 - p0)^3*p0*(1 - p1)*p1^4 + 15*(1 - p)*(1 - p0)^2*p0^2*(1 - p1)*p1^4 + (1 - p)*(1 - p0)^3*p0*p1^5
15*p*p0^2*(1 - p1)^3*p1^4 + 12*p*(1 - p0)*p0*(1 - p1)^2*p1^5 + 6*(1 - p)*p0^2*(1 - p1)^2*p1^5 + p*(1 - p0)^2*(1 - p1)*p1^6 + 2*(1 - p)*(1 - p0)*p0*(1 - p1)*p1^6,20*p*p0^3*(1 - p1)^3*p1^3 + 30*p*(1 - p0)*p0^2*(1 - p1)^2*p1^4 + 15*(1 - p)*p0^3*(1 - p1)^2*p1^4 + 6*p*(1 - p0)^2*p0*(1 - p1)*p1^5 + 12*(1 - p)*(1 - p0)*p0^2*(1 - p1)*p1^5 + (1 - p)*(1 - p0)^2*p0*p1^6
7*p*p0*(1 - p1)^2*p1^6 + p*(1 - p0)*(1 - p1)*p1^7 + (1 - p)*p0*(1 - p1)*p1^7,21*p*p0^2*(1 - p1)^2*p1^5 + 7*p*(1 - p0)*p0*(1 - p1)*p1^6 + 7*(1 - p)*p0^2*(1 - p1)*p1^6 + (1 - p)*(1 - p0)*p0*p1^7
p*(1 - p1)*p1^8,8*p*p0*(1 - p1)*p1^7 + (1 - p)*p0*p1^8
0,p*p1^9
